x,y
61,61.19971596
9,11.85312574
71,68.4739206
15,13.25690647
58,57.05752706
5,0.707510638
36,33.66194193
90,89.899991
56,55.9249564
70,72.58929383
55,54.40348599
42,43.64765048
3,-2.830749501
64,62.82816355
62,58.09031476
65,68.94699774
25,26.03323718
41,38.68888682
75,75.48910307
46,52.05490703
13,13.11612884
28,31.32274932
68,69.35848388
58,61.7510743
97,94.15149206
91,93.59057024
95,93.73176312
91,91.64730552
91,95.06140858
25,27.35245439
80,79.22021816
82,88.60376995
91,94.36778957
55,51.10774273
39,41.39990349
24,21.65857739
27,24.58286902
49,50.61728392
26,24.34804332
78,78.39683006
45,42.29145672
96,96.11982476
87,89.13754963
100,105.5918375
77,79.3142548
75,75.42283401
72,68.11367147
78,82.53030719
72,74.04682658
21,25.10114067
32,33.38474138
73,71.30828034
71,70.36836307
32,36.06292994
44,44.98103442
43,44.70786405
42,42.03835773
59,59.10598995
45,41.90368917
24,25.63476257
74,73.5964342
41,43.88314335
37,37.69447352
5,4.928546187
48,48.03970696
79,76.92664854
16,16.16712757
26,25.7440243
84,83.68820499
55,57.53887255
73,72.80457527
100,99.78687252
51,55.85003198
16,16.74923937
50,50.02897927
80,75.24148428
50,45.94511142
20,21.63500655
19,17.44047622
16,14.00226297
75,74.25362837
70,76.47340872
68,71.11189935
60,53.65084683
58,53.52042319
27,25.77161074
86,86.28206739
33,35.07467353
92,95.3958003
50,49.82634062
92,86.26936988
88,87.84749912
66,69.45498498
83,86.30177517
95,95.79747345
8,5.405220518
50,50.82304924
23,24.68362712
0,0.329089443
25,21.99239907
93,94.63911256
68,65.01324035
52,55.34529893
50,49.76948983
38,36.58639803
3,-2.235879852
36,32.52179399
90,89.59295492
75,79.20610113
56,57.87219151
23,21.02469368
4,2.316708112
83,81.4281205
34,36.24807243
11,6.963371967
95,100.740897
15,9.290856256
94,96.19000542
87,84.21191485
74,72.9138853
85,82.47683519
22,17.4618141
15,17.21865634
13,8.335654576
29,26.65566328
38,37.83155021
36,32.46387493
7,10.41468095
62,61.38800663
73,71.98020786
70,72.95331671
93,94.45211871
21,18.98322306
50,48.29491198
94,96.58888601
70,66.94758118
21,18.44679787
15,9.805234876
31,31.300416
80,79.44769523
31,29.04466136
86,82.870594
5,6.963319071
4,-0.936895047
76,77.35135732
3,8.489164326
98,95.2389253
30,29.76846185
11,8.359366572
29,26.33464785
25,25.04169243
14,12.12573805
14,16.63507984
38,37.36298431
47,46.06629478
48,46.9666961
81,78.79008525
31,30.6063167
87,84.06676818
97,94.2963344
9,9.526431641
24,20.21665898
61,59.12912974
70,73.68477876
24,21.81267954
81,80.7633986
86,86.82132066
41,39.3294153
27,26.59112396
18,15.85414849
27,23.47650968
52,52.01932286
2,-0.121860502
85,82.69087513
67,71.0826803
65,66.61499643
38,36.94173178
66,63.64868529
75,74.39517002
36,36.62438077
95,97.61793701
26,27.65574228
84,83.50570521
51,51.02642868
56,52.67003801
63,63.28312382
100,100.0158026
49,52.50336074
7,6.815491279
92,86.78316267
3,1.652309089
36,40.24701716
68,67.28725332
88,87.36938931
20,20.72894979
23,18.31396758
68,64.05710234
81,77.83354439
32,33.67416
86,83.28199022
64,66.09563422
24,21.54945196
77,76.24503196
62,58.87465933
80,78.61042432
93,92.01203405
58,56.68718792
0,1.406254414
91,85.23492274
19,17.34557531
45,43.9367213
29,27.65452669
54,52.45103628
90,92.88772282
53,49.21863516
28,28.15668543
52,52.95305521
81,81.28960746
99,99.87382707
75,77.33986001
55,50.50711779
47,49.86702787
34,36.59623056
52,52.52101436
30,31.23212856
8,6.364615703
42,41.25155632
40,43.30022747
95,92.15749762
48,48.89963951
53,52.51703683
90,94.68488281
12,9.241138977
10,12.18441166
31,31.93063515
73,73.51136922
89,86.26972444
8,6.967537054
56,59.16236621
56,57.72853572
12,10.78089683
1,5.313686205
64,63.61364981
58,57.07748383
30,28.64535198
70,73.71434779
52,53.06655757
95,95.4609216
54,59.07247174
65,58.37266004
74,72.6356699
65,67.88603132
95,97.13832018
27,21.53140009
92,91.30863673
93,94.55203143
31,29.19693178
0,-1.28631089
89,89.82634442
24,24.21914027
31,27.83896261
75,80.23051695
13,10.34754461
17,19.30486546
1,5.809946802
42,38.98317436
84,83.02772202
31,31.43524822
61,60.19925869
68,69.04377173
46,47.15960005
81,81.45544709
100,105.4503788
17,13.24991628
44,42.63227697
10,7.156457657
16,17.03401999
7,9.281699753
100,108.8716183
51,48.38088357
25,25.26971886
33,35.12724777
82,88.54475895
5,7.682024586
21,19.85174138
81,87.15690853
29,29.34092408
15,14.82248589
30,32.59980745
21,18.06450222
43,40.83182104
88,90.5799868
32,31.97989959
74,71.61010303
62,63.29717058
91,94.92329574
72,66.27746655
99,100.0953697
51,50.5123462
39,38.05766408
96,88.02990531
24,24.60323899
41,43.16133498
47,48.71787679
30,31.24365589
11,8.673336357
78,79.1050629
12,7.468501839
73,71.00377824
61,61.01858089
29,26.59436195
11,10.32374866
37,34.12473248
2,-1.053275611
16,18.35488924
35,32.64997554
98,101.1097591
55,56.15303953
94,93.25305499
7,3.829381009
35,36.78035027
92,89.4749477
4,6.079390073
24,19.42637541
99,99.11200375
38,35.79795462
32,28.41453196
89,89.10409255
8,7.896539841
25,24.81824269
49,46.43628318
32,31.15664574
41,43.26595082
78,78.38491927
61,59.225745
34,36.67762733
99,94.97068753
42,50.05636123
64,62.60089773
95,91.775467
59,62.03811556
43,42.84526108
100,103.5266162
91,89.73951993
8,14.75305272
43,44.18863945
93,94.62509374
54,55.32164264
16,13.53290206
12,14.55896144
5,5.860391715
19,21.96033347
58,61.94273962
67,71.97121038
80,80.86087062
86,85.03295412
21,19.87562242
22,21.01429422
39,47.49374765
90,89.91004752
71,75.14466308
57,60.14031858
89,91.24239226
95,96.18852325
54,59.70864577
93,99.43577876
15,16.49185287
82,86.79002254
20,17.13551132
100,100.7012737
91,89.12377509
16,16.82839701
47,51.69967172
98,98.50371084
55,55.81628509
95,94.00291863
35,33.92561965
98,98.6132033
0,-3.836652144
0,-0.764537626
60,61.69900319
89,90.57741298
69,70.9146434
53,57.11195136
44,44.04222058
21,17.0854783
58,57.04310305
22,21.10794636
53,56.37058203
55,54.09063686
23,21.13655528
29,34.07278254
67,68.48820749
25,21.32273728
77,80.59643338
56,52.87524074
25,25.46292549
86,86.76845244
12,6.806419002
29,30.5413129
5,1.628826073
42,41.97607107
28,28.36793808
42,40.30929858
41,44.46272123
90,95.15647284
25,25.53752833
17,20.10741433
50,48.33449605
100,102.4967859
8,10.240085
26,28.90055826
13,9.744164258
22,24.63528393
70,75.0284725
91,92.05756378
41,38.13626679
58,59.46383041
19,22.58096241
72,71.30995371
69,62.64931741
75,72.60339326
59,62.22635684
79,78.74139764
100,99.00361771
59,58.5630564
63,62.03190983
71,70.3188322
47,52.45946688
28,29.31770045
50,50.96155532
13,9.577368568
75,75.45758614
26,25.75612514
88,85.86077871
19,23.85017475
76,79.50341495
99,99.40394676
56,51.20390217
82,81.29750133
85,86.18822311
90,90.50155298
87,88.80306911
26,28.22325833
19,19.47100788
61,66.16652565
84,82.88935804
17,17.33681562
31,25.30895192
0,-2.344738542
67,67.02150613
89,87.45721555
9,12.91328547
34,36.33294447
29,26.49487961
21,22.59015942
56,59.24362743
67,65.0132736
89,91.59548851
58,62.80064204
59,59.61247085
33,30.48881287
93,89.42222685
95,94.70291077
42,42.10140878
32,35.00341078
96,97.27405461
73,70.4052055
3,3.574661632
32,33.43396307
39,37.49971096
52,51.92110232
57,51.57326718
61,61.14568518
27,26.68273277
49,44.26800515
87,89.93374342
26,24.5227488
38,40.95102191
57,56.14834113
96,95.14907176
27,21.71380347
100,95.58459518
99,89.80545367
46,49.42440876
59,60.91792707
19,17.60946242
75,73.2300846
51,53.26657596
4,5.607664865
55,51.47649476
26,26.92832418
16,15.56135514
19,22.1363481
8,9.391416798
94,97.00148372
75,74.29662112
67,66.04325304
86,88.57251713
6,1.919513328
87,90.65513736
16,13.51574749
49,53.5825402
49,47.95883341
56,49.83051801
87,86.10708624
95,90.71481654
37,34.59311043
89,85.52073551
7,5.996069607
20,19.87846479
92,91.85091116
42,38.46213684
34,34.58876491
60,59.8313966
36,41.84986439
77,80.97144285
65,64.00077658
63,61.74063192
49,52.28620611
98,94.47728801
72,68.19721905
64,67.38654703
68,66.28310437
55,55.7383467
75,75.96844763
61,60.07137496
65,60.53321778
52,52.73389794
78,81.40381769
0,-1.040114209
79,78.67470043
71,68.92139297
45,46.14941984
46,45.00397413
58,57.3069783
68,64.43231595
94,95.28503937
49,50.19083844
32,29.38505024
61,60.02274882
70,71.1433266
59,61.2229864
48,47.0586788
84,86.10796637
31,24.18437976
37,32.87558963
4,7.998073432
9,10.80462727
76,75.59701346
25,24.61215147
90,98.13258005
39,39.45358014
8,8.791139893
34,30.48882921
66,71.70015848
21,15.50701184
70,67.2352155
67,65.84975426
96,96.35659485
5,8.746747654
69,77.22982636
76,75.30033002
89,89.55803528
100,99.98491591
81,78.87097714
36,32.77049249
59,56.82457013
14,10.58213964
46,48.35172635
50,50.01787825
38,38.43076389
62,64.94841088
54,58.70318693
94,88.64183756
73,72.86282528
5,5.634030902
1,-2.761182595
95,97.66689567
35,34.78561007
0,2.116113029
69,71.25634126
97,96.49812401
48,47.85817542
84,85.18657275
58,55.61421297
25,25.33323728
67,63.80768172
24,18.91422276
62,62.15313408
60,56.99178872
48,48.88147608
10,9.230857489
7,4.075776144
44,45.67562576
74,75.72605529
33,33.22031418
89,86.5069584
42,47.2492425
48,47.41006725
18,17.76197116
40,48.09843134
55,51.83503872
51,56.43046022
24,22.21908523
48,46.80297244
33,34.76441561
40,41.04525583
23,25.69041546
53,53.62235225
44,45.96396877
54,49.44785426
25,21.37698317
55,51.80035866
52,54.08170635
72,77.9969477
4,7.646529763
16,17.9170699
64,64.37521087
13,14.05572877
13,12.65537808
56,56.01448111
30,28.99769315
86,88.85523586
39,36.79224762
49,48.84542083
61,60.38823085
90,86.236707
81,78.20296268
49,46.78357742
35,24.3884599
3,2.286571686
12,11.29627199
39,39.89606046
25,30.41303282
73,75.7584178
18,21.21321959
39,33.37834391
43,45.12420809
88,88.0578931
89,84.48045678
8,2.379172481
14,12.42624606
4,2.811415826
13,10.28574844
53,49.92639685
37,36.11334779
42,39.34482965
54,49.30477253
11,11.99017641
28,26.22196486
38,31.11331895
97,101.6228548
60,60.11134958
66,67.01715955
71,67.92051286
20,19.62278654
63,62.55662585
85,85.23027975
42,41.46923883
14,15.49301141
13,13.12109842
89,92.08157084
22,18.84798163
74,75.69298554
58,54.54868046
99,98.03017721
98,102.4959452
6,2.576625376
44,41.57421008
21,16.89085185
25,22.62365422
51,52.94026699
97,94.9752655
94,95.78441027
22,24.08498313
93,91.17716423
60,58.67366671
80,77.13735466
86,86.12955884
92,89.73153611
32,37.80182795
60,63.19354354
44,37.08457698
28,33.07112825
55,59.1244888
49,47.38516883
97,98.52008934
76,78.04237454
15,11.60499315
9,12.31736648
12,16.78353974
39,38.3037698
46,49.83538167
24,21.59635575
50,48.97302037
14,13.83959878
45,41.53992729
50,50.96343637
35,34.8534823
84,83.1286166
87,87.28898389
13,17.0761107
45,46.0537745
72,69.39858505
28,26.78023848
33,36.34644189
57,56.18131518
79,78.31056542
65,62.16675273
35,30.13666408
12,12.59244741
93,93.03483388
59,61.69026202
48,46.78108638
47,53.60562216
51,52.82390762
42,42.33151664
68,70.3698748
71,70.34329706
42,43.2736092
74,70.77549842
20,24.34226432
17,14.86159401
99,99.51685756
55,55.35893915
53,50.17008622
32,35.72392691
41,41.21469904
44,42.94274064
15,11.87964573
1,-3.83998112
54,55.32083476
81,82.18839247
95,94.08853397
21,23.77154623
94,94.07428225
88,88.47741598
37,36.4139958
96,94.79081712
36,37.17063131
53,60.20758349
45,44.68913433
19,22.66073682
97,97.70342201
54,48.43753838
26,26.11697543
84,85.02778957
62,58.750127
75,76.88604495
21,22.5453232
82,85.45504157
54,52.26831735
63,58.61466887
5,4.09817744
72,74.68953276
62,61.26514581
35,34.31141446
89,92.11906278
58,57.01631363
75,71.70233156
22,25.60926156
52,51.70352433
21,19.1315097
2,1.576584383
89,91.72960726
46,47.33487629
17,13.41310757
16,21.16523945
46,45.09439571
62,66.48278755
24,24.47387908
21,22.51016575
99,97.55155344
47,47.41377893
20,17.85738813
29,29.6673599
98,95.58017185
79,77.91032969
8,9.190375682
88,87.67388681
34,36.10893209
50,47.46446305
16,11.21710477
64,67.68142149
93,92.26970059
90,91.19109623
50,47.04654956
60,61.92303698
81,73.9308764
18,13.84973988
77,74.12151511
26,26.40362524
11,10.76669688
77,80.50445387
90,88.61672694
19,19.38780134
25,32.37576914
87,87.00645713
69,74.45114379
7,9.400497579
39,39.40049976
77,77.53149541
71,73.83637687
96,95.56065366
48,47.78165248
16,14.10999096
97,97.1082562
41,39.31485292
93,87.36260449
0,-3.467883789
16,20.38051187
19,21.42637785
30,27.9645947
12,12.07991648
58,53.83020877
54,54.57648371
58,57.48741435
67,68.73365081
99,99.9566225
7,4.035430253
48,49.88226593
77,79.77515201
49,48.43307886
34,36.72396986
98,99.04315693
10,9.616859804
16,16.01629889
31,33.94224862
93,95.12400481
40,38.14753871
11,9.199954718
87,84.99484703
26,24.76649193
27,32.34784175
6,6.047286687
40,39.69185252
89,92.40217686
10,13.97163653
46,45.51171028
1,0.275307261
78,82.0763803
86,90.72048818
14,10.26712261
46,46.56141773
10,13.93415049
35,38.07166567
68,63.5312572
10,6.709195759
54,53.32005764
86,83.88427405
10,8.938990554
26,25.80714057
92,86.98450355
9,5.225759566
5,1.611947467
84,85.52145453
39,39.98238856
1,0.282866003
68,69.02934339
21,23.17727887
64,66.7346608
71,74.83135003
51,46.94362684
46,46.11021062
87,85.59308727
46,47.88388961
